locality,sub_locality,street_name,postcode
Agalega,La Fourche,,A1101
Agalega,OIDC (office),,A1102
Agalega,Ste Rita Village,,A2101
Agalega,Village Vingt-Cinq,,A1103
16eme Mille,Cite Anoushka,,52601
16eme Mille,Cite Mon Bois,,52602
16eme Mille,Coriolis,,52603
16eme Mille,Mon Bois(cnt+ubs+laiterie),,52604
16eme Mille,Morc Domah,,52605
16eme Mille,morc Sookary,,52606
16eme Mille,Morcellement RAMPHUL 1,,52607
16eme Mille,Morcellement RAMPHUL 2,,52608
16eme Mille,Seizieme mile,,52609
Bambous,Allee Tamarin,,90101
Bambous,Bambous,,90102
Bambous,Eaux Bonnes,,90103
Bambous,Geoffroy,,90104
Bambous,La Ferme,,90105
Bambous,Mangues Vert Doux,,90106
Bambous,Mon Repos,,90107
Bambous,Morc Eaux Bonnes,,90108
Bambous,Vaudagne,,90109
Baie Du Cap,Baie Du Cap,,60101
Baie Du Cap,Choisy,,60102
Amitie Gokhoola,Amitie,,31501
Amitie Gokhoola,Cite EDC,,31502
Amitie Gokhoola,Gokhoola,,31503
Amitie Gokhoola,Morc VRS,,31504
Albion,Albion,,91001
Albion,Camp Creoles,,91002
Albion,La Croisette,,91003
Albion,Morc Beerjeeraz,,91004
Albion,Morc de Chazal,,91005
Albion,Morc Raffray,,91006
Albion,Morc Terre Albion,,91007
Albion,Splendid View,,91008
Albion,Splendid Village,,91009
Black River,Black River,,90601
Black River,Cite Carre D'As,,90602
Black River,Cite EDC,,90603
Black River,Cite Tamarinier,,90604
Black River,La Balise,,90605
Black River,La Balise Marina,,90606
Black River,La Mivoie,,90607
Black River,La Preneuse,,90608
Black River,La Tourelle View,,90609
Black River,Les Salines/Morc. Plateau,,90610
Black River,London Complex,,90611
Black River,Martello Complex,,90612
Black River,Matala Villa,,90613
Black River,Morc Carlos,,90614
Black River,Morc Filature,,90615
Black River,Morc Majo,,90616
Black River,Morc Mont Calme,,90617
Black River,Morc Paul Hein,,90618
Black River,Morc Ramdenee,,90619
Black River,Morc. Diocese,,90620
Black River,Morc. Villaze,,90621
Black River,Nautica Complex,,90622
Black River,Plantation Marguery,,90623
Black River,River view Com Centre,,90624
Black River,Ruisseau Creole Complex,,90625
Black River,West Island Villa,,90626
Benares,BATIMARAIS,,61101
Benares,BENARES,,61103
Benares,COLMAR,,61102
Bois Cheri,Ahchin,,60201
Bois Cheri,Akla Road,,60202
Bois Cheri,Bois Cheri,,60203
Bois Cheri,Building,,60204
Bois Cheri,Cader Road,,60205
Bois Cheri,Cite EDC Bois Cheri,,60206
Bois Cheri,Cooperative,,60207
Bois Cheri,Heerallal Rd,,60208
Bois Cheri,Mambahal,,60209
Bois Cheri,Morc VRS,,60210
Bois Cheri,Porida,,60211
Bois Cheri,Residence Bois Cheri,,60212
Bois Cheri,Seeruttun Rd,,60213
Bois Cheri,Tivoli,,60214
Bel Ombre,Beau Champ,,61001
Bel Ombre,Bel Ombre,,61002
Bel Ombre,Cite EDC Bel Ombre,,61003
Bel Ombre,Cite Longtill Bel Ombre,,61004
Bel Ombre,Saint Martin,,61006
Bel Ombre,Sainte Marie,,61005
Bambous Virieux,Bambous Virieux,,50101
Bambous Virieux,Debarcadere,,50102
Bambous Virieux,Les Mares,,50103
Bambous Virieux,Pointe Bambous,,50104
Bel Air,Bel Air,,40101
Bel Air,Caroline,,40102
Bel Air,Ernest Florent,,40103
Bel Air,La Laura,,40104
Bel Air,La Lucie  Building,,40106
Bel Air,La Lucie Roy,,40105
Bel Air,Morcellement  Central,,40107
Bel Air,Morcellement  La Cheminee,,40108
Bel Air,Morcellement Pont Lardier,,40109
Bel Air,Petit Bois,,40110
Bel Air,Pont Lardier,,40111
Bel Air,Saint Michel,,40112
Beau Bassin,BEAU BASSIN CENTRE 1 ,ABBE MAZUY,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,BRODILE,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,DE ROSNAY (Royal to Esaie David),71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,DE ROSNAY(from P.Hennessy to Esaie David) Northern side,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,Dessenes St,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,FURGUSON,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,IMP MGR LEEN,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,IMP MONNERON,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,IMP PERE LAVAL,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,IMP VENKATASAMY,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,LORQUET,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,Meldrum (Southern Side),71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,MGR LEEN STREET,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,MONNERON,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,MONTGOMERY,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,P.Hennessy(east side) from Meldrum to De Rosnay,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,Pere Laval from Royal Rd to Morc Avrillon),71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,Royal from Pere Laval to Meldrum,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,STEIN,71501
Beau Bassin,BEAU BASSIN CENTRE 1 ,VENKATASAMY LANE ,71501
